,winningscore,losingscore
0,57.0,39.0
1,68.0,57.0
2,78.0,53.0
3,65.0,62.0
4,64.0,47.0
5,65.0,59.0
6,57.0,50.0
7,52.0,35.0
8,67.0,54.0
9,62.0,52.0
10,46.0,30.0
11,45.0,41.0
12,45.0,37.0
13,74.0,49.0
14,49.0,33.0
15,50.0,43.0
16,56.0,39.0
17,44.0,27.0
18,60.0,30.0
19,42.0,38.0
20,53.0,46.0
21,50.0,25.0
22,78.0,58.0
23,63.0,57.0
24,74.0,35.0
25,39.0,28.0
26,63.0,40.0
27,43.0,34.0
28,47.0,45.0
29,57.0,56.0
30,60.0,48.0
31,56.0,49.0
32,50.0,42.0
33,41.0,38.0
34,45.0,38.0
35,60.0,36.0
36,56.0,48.0
37,65.0,45.0
38,63.0,62.0
39,50.0,31.0
40,54.0,26.0
41,61.0,53.0
42,42.0,28.0
43,44.0,39.0
44,84.0,70.0
45,63.0,50.0
46,45.0,35.0
47,51.0,35.0
48,40.0,26.0
49,63.0,33.0
50,39.0,36.0
51,61.0,52.0
52,73.0,66.0
53,54.0,48.0
54,59.0,32.0
55,58.0,46.0
56,55.0,34.0
57,30.0,24.0
58,47.0,29.0
59,42.0,26.0
60,53.0,34.0
61,54.0,38.0
62,61.0,33.0
63,55.0,44.0
64,60.0,58.0
65,52.0,28.0
66,45.0,22.0
67,52.0,43.0
68,38.0,30.0
69,62.0,58.0
70,64.0,45.0
71,72.0,34.0
72,59.0,45.0
73,42.0,38.0
74,55.0,54.0
75,87.0,39.0
76,66.0,56.0
77,99.0,39.0
78,74.0,48.0
79,65.0,45.0
80,68.0,44.0
81,66.0,40.0
82,43.0,34.0
83,57.0,47.0
84,55.0,54.0
85,44.0,43.0
86,63.0,49.0
87,64.0,51.0
88,50.0,45.0
89,65.0,34.0
90,69.0,45.0
91,57.0,40.0
92,33.0,28.0
93,38.0,35.0
94,25.0,20.0
95,53.0,37.0
96,42.0,39.0
97,52.0,38.0
98,69.0,37.0
99,56.0,25.0
100,48.0,46.0
101,45.0,36.0
102,49.0,44.0
103,42.0,40.0
104,42.0,36.0
105,60.0,34.0
106,67.0,35.0
107,30.0,28.0
108,58.0,41.0
109,36.0,34.0
110,45.0,42.0
111,55.0,25.0
112,45.0,44.0
113,65.0,37.0
114,45.0,31.0
115,60.0,42.0
116,48.0,46.0
117,67.0,39.0
118,89.0,67.0
119,54.0,39.0
120,58.0,44.0
121,65.0,57.0
122,52.0,35.0
123,48.0,43.0
124,44.0,31.0
125,45.0,24.0
126,67.0,51.0
127,45.0,26.0
128,53.0,36.0
129,70.0,37.0
130,40.0,37.0
131,52.0,50.0
132,43.0,38.0
133,59.0,44.0
134,47.0,43.0
135,59.0,43.0
136,64.0,54.0
137,85.0,47.0
138,60.0,42.0
139,66.0,62.0
140,87.0,23.0
141,81.0,64.0
142,66.0,31.0
143,50.0,20.0
144,56.0,40.0
145,52.0,47.0
146,63.0,41.0
147,73.0,44.0
148,35.0,19.0
149,59.0,37.0
150,62.0,52.0
151,109.0,62.0
152,46.0,31.0
153,53.0,36.0
154,64.0,54.0
155,28.0,19.0
156,40.0,35.0
157,48.0,26.0
158,85.0,46.0
159,58.0,46.0
160,45.0,43.0
161,34.0,28.0
162,51.0,44.0
163,39.0,32.0
164,78.0,36.0
165,69.0,36.0
166,56.0,33.0
167,50.0,48.0
168,51.0,44.0
169,55.0,38.0
170,73.0,36.0
171,44.0,42.0
172,61.0,59.0
173,98.0,59.0
174,61.0,38.0
175,40.0,34.0
176,55.0,39.0
177,80.0,52.0
178,44.0,25.0
179,36.0,33.0
180,36.0,32.0
181,53.0,28.0
182,65.0,49.0
183,59.0,34.0
184,64.0,31.0
185,43.0,33.0
186,36.0,28.0
187,26.0,21.0
188,64.0,45.0
189,49.0,44.0
190,33.0,24.0
191,85.0,61.0
192,38.0,29.0
193,57.0,47.0
194,52.0,47.0
195,31.0,24.0
196,52.0,44.0
197,57.0,32.0
198,35.0,27.0
199,53.0,38.0
200,51.0,34.0
201,64.0,45.0
202,79.0,67.0
203,70.0,44.0
204,38.0,30.0
205,78.0,56.0
206,40.0,27.0
207,38.0,29.0
208,55.0,53.0
209,59.0,21.0
210,40.0,39.0
211,57.0,36.0
212,44.0,43.0
213,46.0,36.0
214,60.0,45.0
215,52.0,40.0
216,50.0,41.0
217,50.0,46.0
218,47.0,45.0
219,93.0,53.0
220,39.0,26.0
221,64.0,40.0
222,46.0,45.0
223,67.0,43.0
224,77.0,33.0
225,55.0,32.0
226,51.0,40.0
227,46.0,43.0
228,91.0,30.0
229,50.0,44.0
230,47.0,42.0
231,63.0,52.0
232,71.0,27.0
233,48.0,38.0
234,58.0,36.0
235,52.0,28.0
236,76.0,47.0
237,67.0,50.0
238,45.0,44.0
239,58.0,46.0
240,60.0,33.0
241,42.0,41.0
242,65.0,50.0
243,53.0,45.0
244,41.0,35.0
245,57.0,44.0
246,56.0,24.0
247,53.0,43.0
248,43.0,32.0
249,47.0,27.0
250,65.0,33.0
251,47.0,21.0
252,36.0,15.0
253,54.0,51.0
254,39.0,21.0
255,68.0,65.0
256,49.0,42.0
257,58.0,37.0
258,49.0,34.0
259,45.0,41.0
260,65.0,63.0
261,67.0,53.0
262,71.0,65.0
263,50.0,35.0
264,68.0,43.0
265,65.0,39.0
266,72.0,68.0
267,38.0,35.0
268,51.0,20.0
269,52.0,18.0
270,59.0,33.0
271,69.0,65.0
272,50.0,29.0
273,56.0,54.0
274,71.0,39.0
275,76.0,51.0
276,63.0,35.0
277,65.0,43.0
278,54.0,31.0
279,54.0,21.0
280,53.0,48.0
281,71.0,49.0
282,51.0,50.0
283,68.0,48.0
284,55.0,41.0
285,69.0,52.0
286,38.0,34.0
287,47.0,37.0
288,53.0,26.0
289,46.0,31.0
290,55.0,52.0
291,51.0,44.0
292,54.0,46.0
293,71.0,41.0
294,44.0,35.0
295,63.0,35.0
296,65.0,48.0
297,32.0,28.0
298,62.0,42.0
299,75.0,47.0
300,52.0,36.0
301,52.0,38.0
302,57.0,42.0
303,73.0,57.0
304,37.0,21.0
305,52.0,44.0
306,55.0,43.0
307,52.0,46.0
308,65.0,60.0
309,60.0,29.0
310,53.0,41.0
311,58.0,40.0
312,41.0,34.0
313,51.0,26.0
314,72.0,49.0
315,50.0,42.0
316,48.0,21.0
317,54.0,40.0
318,46.0,44.0
319,51.0,48.0
320,45.0,39.0
321,78.0,55.0
322,47.0,39.0
323,41.0,37.0
324,73.0,48.0
325,62.0,44.0
326,42.0,28.0
327,56.0,34.0
328,52.0,50.0
329,69.0,45.0
330,85.0,43.0
331,68.0,46.0
332,56.0,55.0
333,45.0,41.0
334,51.0,50.0
335,44.0,37.0
336,45.0,37.0
337,40.0,37.0
338,66.0,65.0
339,79.0,42.0
340,56.0,46.0
341,67.0,54.0
342,54.0,38.0
343,42.0,33.0
344,55.0,33.0
345,36.0,35.0
346,62.0,55.0
347,36.0,26.0
348,46.0,45.0
349,51.0,42.0
350,66.0,32.0
351,61.0,46.0
352,48.0,43.0
353,57.0,24.0
354,58.0,38.0
355,39.0,34.0
356,66.0,24.0
357,76.0,65.0
358,53.0,39.0
359,43.0,24.0
360,53.0,39.0
361,42.0,35.0
362,49.0,42.0
363,80.0,29.0
364,41.0,36.0
365,58.0,56.0
366,55.0,32.0
367,27.0,25.0
368,59.0,48.0
369,48.0,39.0
370,68.0,49.0
371,51.0,30.0
372,70.0,48.0
373,68.0,45.0
374,54.0,49.0
375,66.0,45.0
376,49.0,26.0
377,38.0,37.0
378,58.0,32.0
379,47.0,44.0
380,35.0,33.0
381,25.0,24.0
382,61.0,39.0
383,43.0,30.0
384,64.0,54.0
385,49.0,37.0
386,57.0,32.0
387,53.0,48.0
388,31.0,29.0
389,46.0,44.0
390,56.0,45.0
391,67.0,46.0
392,57.0,52.0
393,48.0,41.0
394,48.0,21.0
395,45.0,33.0
396,61.0,45.0
397,61.0,56.0
398,52.0,50.0
399,40.0,36.0
400,49.0,37.0
401,35.0,34.0
402,37.0,21.0
403,95.0,53.0
404,46.0,38.0
405,43.0,38.0
406,56.0,40.0
407,41.0,37.0
408,64.0,52.0
409,62.0,34.0
410,46.0,35.0
411,59.0,33.0
412,47.0,35.0
413,44.0,42.0
414,58.0,33.0
415,68.0,59.0
416,62.0,39.0
417,47.0,35.0
418,57.0,27.0
419,58.0,34.0
420,33.0,31.0
421,41.0,30.0
422,52.0,46.0
423,57.0,36.0
424,68.0,43.0
425,54.0,31.0
426,53.0,42.0
427,54.0,32.0
428,41.0,33.0
429,50.0,35.0
430,62.0,40.0
431,47.0,33.0
432,74.0,37.0
433,69.0,57.0
434,31.0,23.0
435,39.0,28.0
436,46.0,33.0
437,61.0,42.0
438,49.0,31.0
439,62.0,32.0
440,58.0,35.0
441,57.0,35.0
442,94.0,48.0
443,52.0,38.0
444,80.0,61.0
445,39.0,29.0
446,42.0,38.0
447,55.0,39.0
448,66.0,65.0
449,69.0,48.0
450,41.0,37.0
451,56.0,55.0
452,40.0,32.0
453,75.0,36.0
454,50.0,37.0
455,53.0,52.0
456,54.0,47.0
457,55.0,31.0
458,79.0,30.0
459,55.0,35.0
460,42.0,34.0
461,37.0,30.0
462,59.0,39.0
463,55.0,37.0
464,56.0,45.0
465,64.0,36.0
466,50.0,44.0
467,33.0,27.0
468,49.0,42.0
469,52.0,44.0
470,38.0,14.0
471,53.0,31.0
472,50.0,44.0
473,87.0,40.0
474,68.0,59.0
475,52.0,33.0
476,47.0,36.0
477,54.0,27.0
478,54.0,53.0
479,74.0,27.0
480,50.0,33.0
481,38.0,31.0
482,83.0,46.0
483,76.0,56.0
484,65.0,64.0
485,55.0,50.0
486,43.0,42.0
487,44.0,22.0
488,45.0,33.0
489,55.0,39.0
490,65.0,47.0
491,68.0,50.0
492,50.0,42.0
493,74.0,73.0
494,51.0,33.0
495,67.0,57.0
496,50.0,27.0
497,52.0,40.0
498,43.0,39.0
499,60.0,57.0
500,38.0,34.0
501,66.0,54.0
502,50.0,41.0
503,93.0,59.0
504,68.0,51.0
505,48.0,44.0
506,56.0,46.0
507,39.0,34.0
508,60.0,43.0
509,62.0,55.0
510,43.0,32.0
511,81.0,64.0
512,62.0,46.0
513,35.0,29.0
514,60.0,48.0
515,70.0,54.0
516,53.0,49.0
517,52.0,45.0
518,65.0,39.0
519,60.0,39.0
520,56.0,53.0
521,79.0,45.0
522,71.0,42.0
523,69.0,23.0
524,48.0,33.0
525,62.0,35.0
526,48.0,42.0
527,46.0,26.0
528,55.0,48.0
529,99.0,42.0
530,35.0,27.0
531,69.0,65.0
532,79.0,50.0
533,79.0,68.0
534,56.0,55.0
535,61.0,51.0
536,61.0,46.0
537,64.0,43.0
538,58.0,50.0
539,56.0,51.0
540,59.0,52.0
541,57.0,46.0
542,69.0,66.0
543,65.0,50.0
544,47.0,39.0
545,84.0,53.0
546,43.0,37.0
547,41.0,35.0
548,50.0,40.0
549,58.0,32.0
550,42.0,31.0
551,51.0,45.0
552,37.0,28.0
553,64.0,34.0
554,70.0,53.0
555,42.0,21.0
556,53.0,45.0
557,52.0,39.0
558,45.0,24.0
559,61.0,50.0
560,34.0,28.0
561,61.0,60.0
562,48.0,37.0
563,60.0,31.0
564,49.0,46.0
565,44.0,28.0
566,63.0,55.0
567,58.0,55.0
568,56.0,47.0
569,68.0,42.0
570,65.0,61.0
571,63.0,57.0
572,51.0,37.0
573,48.0,39.0
574,46.0,30.0
575,57.0,56.0
576,43.0,41.0
577,62.0,45.0
578,60.0,31.0
579,54.0,36.0
580,50.0,37.0
581,51.0,41.0
582,54.0,48.0
583,53.0,52.0
584,94.0,24.0
585,63.0,43.0
586,69.0,47.0
587,66.0,24.0
588,44.0,33.0
589,37.0,31.0
590,43.0,26.0
591,61.0,30.0
592,65.0,63.0
593,59.0,31.0
594,47.0,46.0
595,59.0,42.0
596,65.0,53.0
597,72.0,32.0
598,54.0,30.0
599,46.0,37.0
600,82.0,52.0
601,37.0,25.0
602,52.0,32.0
603,68.0,41.0
604,35.0,34.0
605,55.0,34.0
606,57.0,52.0
607,33.0,28.0
608,48.0,42.0
609,30.0,26.0
610,59.0,54.0
611,54.0,47.0
612,45.0,36.0
613,50.0,34.0
614,69.0,57.0
615,55.0,43.0
616,54.0,49.0
617,51.0,42.0
618,47.0,41.0
619,26.0,25.0
620,78.0,44.0
621,58.0,31.0
622,38.0,31.0
623,66.0,54.0
624,52.0,40.0
625,63.0,57.0
626,61.0,32.0
627,44.0,18.0
628,56.0,23.0
629,53.0,23.0
630,60.0,40.0
631,52.0,33.0
632,61.0,29.0
633,52.0,44.0
634,49.0,41.0
635,60.0,45.0
636,43.0,17.0
637,53.0,35.0
638,64.0,43.0
639,44.0,37.0
640,48.0,11.0
641,52.0,48.0
642,45.0,33.0
643,61.0,38.0
644,52.0,48.0
645,69.0,39.0
646,72.0,39.0
647,43.0,36.0
648,36.0,34.0
649,50.0,40.0
650,43.0,42.0
651,61.0,38.0
652,64.0,55.0
653,76.0,42.0
654,53.0,45.0
655,38.0,26.0
656,56.0,48.0
657,51.0,16.0
658,68.0,38.0
659,39.0,24.0
660,45.0,35.0
661,54.0,51.0
